"event_id","time_interval","district","location1","location2","location3","link"
"activist_1",2019-06-12 14:00:00 HKT--2019-06-12 15:59:59 HKT,"中西區","立法會綜合大樓","中信大廈","政府總部","https://t.me/localpresshk/772,https://t.me/hk926/58,https://t.me/hk926/60,https://t.me/hk926/61,https://t.me/hk926/62,https://t.me/antiextraditionverifiednews/158,https://t.me/sparkalliancehk/312,https://t.me/poly9999999/395,https://t.me/poly9999999/398"
"activist_2",2019-06-12 14:00:00 HKT--2019-06-12 15:59:59 HKT,"中西區","金鐘廊","金鐘夏慤道",NA,"https://t.me/localpresshk/772,https://t.me/hk926/58,https://t.me/hk926/60,https://t.me/hk926/61,https://t.me/hk926/62,https://t.me/antiextraditionverifiednews/158,https://t.me/sparkalliancehk/312,https://t.me/poly9999999/395,https://t.me/poly9999999/398"
"activist_3",2019-06-12 16:00:00 HKT--2019-06-12 17:59:59 HKT,"中西區","中信大廈","立法會綜合大樓","金鐘龍和道","https://t.me/antielabfactchecking/71,https://t.me/antielabfactchecking/81,https://t.me/antielabfactchecking/82,https://t.me/localpresshk/780,https://t.me/localpresshk/783,https://t.me/DemosistoOfficial/943,https://t.me/hk926/68,https://t.me/hk926/71,https://t.me/hk926/72,https://t.me/hk926/82,https://t.me/antiextraditionverifiednews/159,https://t.me/antiextraditionverifiednews/179,https://t.me/antiextraditionverifiednews/195,https://t.me/antiextraditionverifiednews/196,https://t.me/antiextraditionverifiednews/203,https://t.me/antiextraditionverifiednews/208,https://t.me/antiextraditionverifiednews/213,https://t.me/poly9999999/399,https://t.me/poly9999999/403,https://t.me/poly9999999/411,https://t.me/poly9999999/420,https://t.me/poly9999999/426,https://t.me/poly9999999/431,https://t.me/poly9999999/434,https://t.me/poly9999999/440,https://t.me/poly9999999/449"
"activist_4",2019-06-12 16:00:00 HKT--2019-06-12 17:59:59 HKT,"中西區","海富中心","金鐘廊","金鐘站","https://t.me/antielabfactchecking/71,https://t.me/antielabfactchecking/81,https://t.me/antielabfactchecking/82,https://t.me/localpresshk/780,https://t.me/localpresshk/783,https://t.me/DemosistoOfficial/943,https://t.me/hk926/68,https://t.me/hk926/71,https://t.me/hk926/72,https://t.me/hk926/82,https://t.me/antiextraditionverifiednews/159,https://t.me/antiextraditionverifiednews/179,https://t.me/antiextraditionverifiednews/195,https://t.me/antiextraditionverifiednews/196,https://t.me/antiextraditionverifiednews/203,https://t.me/antiextraditionverifiednews/208,https://t.me/antiextraditionverifiednews/213,https://t.me/poly9999999/399,https://t.me/poly9999999/403,https://t.me/poly9999999/411,https://t.me/poly9999999/420,https://t.me/poly9999999/426,https://t.me/poly9999999/431,https://t.me/poly9999999/434,https://t.me/poly9999999/440,https://t.me/poly9999999/449"
"activist_5",2019-06-12 16:00:00 HKT--2019-06-12 17:59:59 HKT,"中西區","政府總部","夏慤道、添華道","金鐘添美道","https://t.me/antielabfactchecking/71,https://t.me/antielabfactchecking/81,https://t.me/antielabfactchecking/82,https://t.me/localpresshk/780,https://t.me/localpresshk/783,https://t.me/DemosistoOfficial/943,https://t.me/hk926/68,https://t.me/hk926/71,https://t.me/hk926/72,https://t.me/hk926/82,https://t.me/antiextraditionverifiednews/159,https://t.me/antiextraditionverifiednews/179,https://t.me/antiextraditionverifiednews/195,https://t.me/antiextraditionverifiednews/196,https://t.me/antiextraditionverifiednews/203,https://t.me/antiextraditionverifiednews/208,https://t.me/antiextraditionverifiednews/213,https://t.me/poly9999999/399,https://t.me/poly9999999/403,https://t.me/poly9999999/411,https://t.me/poly9999999/420,https://t.me/poly9999999/426,https://t.me/poly9999999/431,https://t.me/poly9999999/434,https://t.me/poly9999999/440,https://t.me/poly9999999/449"
"activist_6",2019-06-12 16:00:00 HKT--2019-06-12 17:59:59 HKT,"灣仔區","香港演藝學院",NA,NA,"https://t.me/antielabfactchecking/71,https://t.me/antielabfactchecking/73,https://t.me/DemosistoOfficial/943,https://t.me/hk926/68"
"activist_7",2019-06-12 18:00:00 HKT--2019-06-12 19:59:59 HKT,"中西區","高等法院大樓","力寶中心",NA,"https://t.me/antielabfactchecking/98,https://t.me/antielabfactchecking/101,https://t.me/localpresshk/799,https://t.me/localpresshk/800,https://t.me/hk926/86,https://t.me/antiextraditionverifiednews/236,https://t.me/antiextraditionverifiednews/237,https://t.me/poly9999999/462"
"activist_8",2019-06-12 18:00:00 HKT--2019-06-12 19:59:59 HKT,"中西區","政府總部",NA,NA,"https://t.me/antielabfactchecking/98,https://t.me/antielabfactchecking/101,https://t.me/localpresshk/799,https://t.me/localpresshk/800,https://t.me/hk926/86,https://t.me/antiextraditionverifiednews/236,https://t.me/antiextraditionverifiednews/237,https://t.me/poly9999999/462"
"activist_9",2019-06-12 18:00:00 HKT--2019-06-12 19:59:59 HKT,"中西區","金鐘金鐘道",NA,NA,"https://t.me/antielabfactchecking/98,https://t.me/antielabfactchecking/101,https://t.me/localpresshk/799,https://t.me/localpresshk/800,https://t.me/hk926/86,https://t.me/antiextraditionverifiednews/236,https://t.me/antiextraditionverifiednews/237,https://t.me/poly9999999/462"
"activist_10",2019-06-12 20:00:00 HKT--2019-06-12 21:59:59 HKT,"中西區","太古廣場","警政大樓",NA,"https://t.me/hk926/104,https://t.me/poly9999999/493"
"activist_11",2019-07-01 16:00:00 HKT--2019-07-01 17:59:59 HKT,"中西區","立法會綜合大樓",NA,NA,"https://t.me/antiextraditionverifiednews/708,https://t.me/sparkalliancehk/668"
